title,publication_url,institution,institution_url,type,format,price
California Design 1930–1965: Living in a Modern Way,http://mitpress-ebooks.mit.edu/product/california-design-19301965,LACMA,http://www.lacma.org,Art and architecture book ,FXL,42.00
"Fashioning Fashion: European Dress in Detail, 1700–1915",https://itunes.apple.com/us/book/fashioning-fashion/id498075562?mt=11,LACMA,http://www.lacma.org,Art and architecture book ,FXL,19.99
In Wonderland: The Surrealist Adventures of Women Artists in Mexico and the United States,https://itunes.apple.com/us/book/in-wonderland-surrealist-adventures/id498567164?mt=11,LACMA,http://www.lacma.org,Art and architecture book ,FXL,19.99
Encounters from Dada till Today,http://store.kobobooks.com/en-us/books/Encounters-from-Dada-till-Today/wBET8IHq2EK8yP7AxgVQ3A?MixID=wBET8IHq2EK8yP7AxgVQ3A&PageNumber=1&s=fOyhzMeWZk-g3d-3L0ZzHQ&r=1&utm_source=linkshare_us&utm_medium=Affiliate&utm_campaign=linkshare_us&siteID=xOcAitSD89k-tnE9xlG5UwNuruZ7DPdA2w,LACMA,http://www.lacma.org,Art and architecture book ,ePub,14.29
Reading Room,http://www.lacma.org/art/reading-room,LACMA,http://www.lacma.org,Backlist,PDF,0
Southeast Asian Art at LACMA,http://seasian.catalog.lacma.org/,LACMA,http://www.lacma.org,Collection catalog ,Website,0
Graphite,http://www.imamuseum.org/research/publications/digital-publications/graphite-pub,Indianapolis Museum of Art,http://www.imamuseum.org/research/publications,Collection catalog ,iBooks Author ,4.99
IMA Magazine Archive,http://www.imamuseum.org/about/ima-magazine,Indianapolis Museum of Art,http://www.imamuseum.org/research/publications,"Backlist, serial",PDF,0
Objects of Design from the Museum of Modern Art ,http://www.momastore.org/museum/moma/ProductDisplay_Objects%20of%20Design%20from%20The%20Museum%20of%20Modern%20Art_10451_10001_180542_-1_26683_55161_188549,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,14.99
German Expressionism,http://www.momastore.org/museum/moma/ProductDisplay_German%20Expressionism%20The%20Graphic%20Impulse_10451_10001_180543_-1_26683_55161_183044,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,19.99
Rousseau The Dream,http://www.momastore.org/museum/moma/ProductDisplay_Rousseau%20The%20Dream_10451_10001_180545_-1_26683_55161_135602,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,3.99
American Modern Hopper to O'Keeffe,http://www.momastore.org/museum/moma/ProductDisplay_American%20Modern%20Hopper%20to%20OKeeffe_10451_10001_180546_-1_26683_55161_163631,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,19.99
MoMa Highlights,http://www.momastore.org/museum/moma/ProductDisplay_MoMA%20Highlights%20%282013%29_10451_10001_176042_-1_26683_55161_156705,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,9.99
ATGET,http://www.momastore.org/museum/moma/ProductDisplay_Atget_10451_10001_187620_-1_26683_55161_15070,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,19.99
Beyond the Visible: The Art of Odilon Redon,http://www.momastore.org/museum/moma/ProductDisplay_Beyond%20the%20Visible%20The%20Art%20of%20Odilon%20Redon_10451_10001_187621_-1_26683_55161_188547,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,19.99
Vincent van Gogh: The Starry Night,http://www.momastore.org/museum/moma/ProductDisplay_Van%20Gogh%20The%20Starry%20Night_10451_10001_187623_-1_26683_55161_53840,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,3.99
Modern Women: Women Artists at the Museum of Modern Art ,http://www.momastore.org/museum/moma/ProductDisplay_Modern%20Women%20Women%20Artists%20at%20The%20Museum%20of%20Modern%20Art_10451_10001_187624_-1_26683_55161_65592,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,24.99
Constantin Brancusi,http://www.momastore.org/museum/moma/ProductDisplay_Constantin%20Brancusi_10451_10001_187625_-1_26683_55161_70064,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,3.99
Willem de Koonnig,http://www.momastore.org/museum/moma/ProductDisplay_Willem%20de%20Kooning_10451_10001_187626_-1_26683_55161_110047,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,3.99
Henri Matisse,http://www.momastore.org/museum/moma/ProductDisplay_Henri%20Matisse_10451_10001_187622_-1_26683_55161_48072,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,3.99
